Gene stable ID,NCBI gene ID
ENSG00000019144,23187
ENSG00000019485,56981
ENSG00000019549,6591
ENSG00000019582,972
ENSG00000019991,3082
ENSG00000019995,54764
ENSG00000020129,23154
ENSG00000020181,25960
ENSG00000020256,55734
ENSG00000020426,4331
ENSG00000020577,23034
ENSG00000020922,4361
ENSG00000021300,58473
ENSG00000021355,1992
ENSG00000021574,6683
ENSG00000021645,9369
ENSG00000021762,114879
ENSG00000021776,9716
ENSG00000021826,1373
ENSG00000022267,2273
ENSG00000022277,51507
ENSG00000022567,57210
ENSG00000022840,9921
ENSG00000022976,55778
ENSG00000023041,64429
ENSG00000023171,57476
ENSG00000023191,6050
ENSG00000023228,4719
ENSG00000023287,9821
ENSG00000023318,23071
ENSG00000023330,211
ENSG00000023445,330
ENSG00000023516,11215
ENSG00000023572,51022
ENSG00000023608,6617
ENSG00000023697,51071
ENSG00000023734,11171
ENSG00000023839,1244
ENSG00000023902,51177
ENSG00000023909,2730
ENSG00000024048,23304
ENSG00000024422,30846
ENSG00000024526,55635
ENSG00000024862,25901
ENSG00000025039,58528
ENSG00000025156,3298
ENSG00000025293,51230
ENSG00000025423,8630
ENSG00000025434,10062
ENSG00000025708,1890
ENSG00000025770,29781
ENSG00000025772,10953
ENSG00000025796,11231
ENSG00000025800,23633
ENSG00000026025,7431
ENSG00000026036,
ENSG00000026103,355
ENSG00000026297,8635
ENSG00000026508,960
ENSG00000026559,3755
ENSG00000026652,56895
ENSG00000026950,11119
ENSG00000027001,4285
ENSG00000027075,5583
ENSG00000027697,3459
ENSG00000027847,11285
ENSG00000028116,7444
ENSG00000028137,7133
ENSG00000028203,55591
ENSG00000028277,5452
ENSG00000028310,65980
ENSG00000028528,6642
ENSG00000028839,9519
ENSG00000029153,56938
ENSG00000029363,9774
ENSG00000029364,55334
ENSG00000029534,286
ENSG00000029639,51106
ENSG00000029725,9135
ENSG00000029993,3149
ENSG00000030066,23279
ENSG00000030110,578
ENSG00000030304,4593
ENSG00000030419,22807
ENSG00000030582,2896
ENSG00000031003,51306
ENSG00000031081,57514
ENSG00000031691,55166
ENSG00000031698,6301
ENSG00000031823,8498
ENSG00000032219,5926
ENSG00000032389,7260
ENSG00000032444,10908
ENSG00000032742,8100
ENSG00000033011,56052
ENSG00000033030,55596
ENSG00000033050,10061
ENSG00000033100,54480
ENSG00000033170,2530
ENSG00000033178,55236
ENSG00000033327,9846
ENSG00000033627,535
ENSG00000033800,8554
ENSG00000033867,9497
ENSG00000034053,321
ENSG00000034152,5606
ENSG00000034239,79645
ENSG00000034510,9168
ENSG00000034533,28990
ENSG00000034677,25897
ENSG00000034693,8504
ENSG00000034713,11345
ENSG00000034971,4653
ENSG00000035115,26751
ENSG00000035141,84908
ENSG00000035403,7414
ENSG00000035664,23604
ENSG00000035681,8439
ENSG00000035687,159
ENSG00000035862,7077
ENSG00000035928,5981
ENSG00000036054,55773
ENSG00000036257,8452
ENSG00000036448,9172
ENSG00000036530,10858
ENSG00000036549,26009
ENSG00000036672,9099
ENSG00000037042,27175
ENSG00000037241,51121
ENSG00000037474,54888
ENSG00000037637,54455
ENSG00000037749,4238
ENSG00000037757,84245
ENSG00000037897,4234
ENSG00000037965,3224
ENSG00000038002,175
ENSG00000038210,55300
ENSG00000038219,259282
ENSG00000038274,27430
ENSG00000038295,7092
ENSG00000038358,23644
ENSG00000038382,7204
ENSG00000038427,1462
ENSG00000038532,23274
ENSG00000038945,4481
ENSG00000039123,23517
ENSG00000039139,1767
ENSG00000039319,9765
ENSG00000039523,79567
ENSG00000039560,26064
ENSG00000039650,11284
ENSG00000040199,23035
ENSG00000040275,54908
ENSG00000040341,27067
ENSG00000040487,54896
ENSG00000040531,1497
ENSG00000040633,79142
ENSG00000040933,3631
ENSG00000041353,5874
ENSG00000041357,5685
ENSG00000041802,55341
ENSG00000041880,10039
ENSG00000041982,3371
ENSG00000041988,90326
ENSG00000042062,140876
ENSG00000042088,55775
ENSG00000042286,84883
ENSG00000042317,55812
ENSG00000042429,9440
ENSG00000042445,54884
ENSG00000042493,822
ENSG00000042753,1175
ENSG00000042832,7038
ENSG00000043093,54165
ENSG00000043143,23338
ENSG00000043514,54802
ENSG00000044090,9820
ENSG00000044115,1495
ENSG00000044446,5256
ENSG00000044459,54875
ENSG00000044524,2042
ENSG00000044574,3309
ENSG00000046604,1829
ENSG00000046647,54960
ENSG00000046651,8481
ENSG00000046653,2824
ENSG00000046889,80243
ENSG00000047056,22884
ENSG00000047188,64848
ENSG00000047230,56474
ENSG00000047249,51606
ENSG00000047315,5431
ENSG00000047346,56204
ENSG00000047365,116984
ENSG00000047410,7175
ENSG00000047457,1356
ENSG00000047578,23247
ENSG00000047579,84062
ENSG00000047621,57102
ENSG00000047634,6322
ENSG00000047644,55841
ENSG00000047648,395
ENSG00000047662,27146
ENSG00000047849,4134
ENSG00000047932,57120
ENSG00000047936,6098
ENSG00000048028,57646
ENSG00000048052,9734
ENSG00000048140,26262
ENSG00000048162,51491
ENSG00000048342,57545
ENSG00000048392,50484
ENSG00000048405,168850
ENSG00000048471,92017
ENSG00000048540,55885
ENSG00000048544,55173
ENSG00000048649,51773
ENSG00000048707,55187
ENSG00000048740,10659
ENSG00000048828,23196
ENSG00000048991,23518
ENSG00000049089,1298
ENSG00000049130,4254
ENSG00000049167,1161
ENSG00000049192,11174
ENSG00000049239,9563
ENSG00000049245,9341
ENSG00000049246,8863
ENSG00000049247,10911
ENSG00000049323,4052
ENSG00000049449,5954
ENSG00000049540,2006
ENSG00000049541,5982
ENSG00000049618,57492
ENSG00000049656,81037
ENSG00000049759,23327
ENSG00000049769,89801
ENSG00000049860,3074
ENSG00000049883,79810
ENSG00000050130,51528
ENSG00000050165,27122
ENSG00000050327,7984
ENSG00000050344,9603
ENSG00000050393,63933
ENSG00000050405,51474
ENSG00000050426,25875
ENSG00000050438,9498
ENSG00000050748,5601
ENSG00000050820,9564
ENSG00000051009,84067
ENSG00000051108,9709
ENSG00000051128,9454
ENSG00000051180,5888
ENSG00000051341,10721
ENSG00000051382,5291
ENSG00000051523,1535
ENSG00000051596,84321
ENSG00000051620,23593
ENSG00000051825,10198
ENSG00000052126,54477
ENSG00000052723,80143
ENSG00000052749,23223
ENSG00000052795,57600
ENSG00000052802,6307
ENSG00000052841,55761
ENSG00000053254,1112
ENSG00000053371,8574
ENSG00000053372,51154
ENSG00000053438,4826
ENSG00000053501,55850
ENSG00000053702,83714
ENSG00000053747,3909
ENSG00000053770,55745
ENSG00000053900,29945
ENSG00000054116,27095
ENSG00000054118,9967
ENSG00000054148,29085
ENSG00000054219,4065
ENSG00000054267,51742
ENSG00000054277,23596
ENSG00000054282,10806
ENSG00000054392,55733
ENSG00000054523,23095
ENSG00000054598,2296
ENSG00000054611,25771
ENSG00000054654,23224
ENSG00000054690,57475
ENSG00000054793,10079
ENSG00000054965,23201
ENSG00000054967,84957
ENSG00000054983,2581
ENSG00000055044,51602
ENSG00000055070,26099
ENSG00000055130,8454
ENSG00000055147,10827
ENSG00000055163,26999
ENSG00000055208,23118
ENSG00000055211,116254
ENSG00000055332,5610
ENSG00000055483,57602
ENSG00000055609,58508
ENSG00000055732,55283
ENSG00000055917,23369
ENSG00000055950,84545
ENSG00000056050,54969
ENSG00000056097,51663
ENSG00000056277,55609
ENSG00000056558,7185
ENSG00000056586,54542
ENSG00000056736,55540
ENSG00000056972,10758
ENSG00000056998,8908
ENSG00000057019,131566
ENSG00000057252,6646
ENSG00000057608,2665
ENSG00000057657,639
ENSG00000057663,9474
ENSG00000057704,57458
ENSG00000057757,57095
ENSG00000057935,57504
ENSG00000058056,8975
ENSG00000058063,23200
ENSG00000058085,3918
ENSG00000058091,5218
ENSG00000058262,29927
ENSG00000058272,4659
ENSG00000058404,816
ENSG00000058453,9696
ENSG00000058600,55718
ENSG00000058668,493
ENSG00000058729,55781
ENSG00000058799,54432
ENSG00000058804,55706
ENSG00000058866,1608
ENSG00000059122,84256
ENSG00000059145,64718
ENSG00000059378,64761
ENSG00000059573,5832
ENSG00000059588,6894
ENSG00000059691,5188
ENSG00000059728,4084
ENSG00000059758,5128
ENSG00000059769,548645
ENSG00000059804,6515
ENSG00000059915,5662
ENSG00000060069,9150
ENSG00000060138,8531
ENSG00000060237,65125
ENSG00000060339,55749
ENSG00000060491,11054
ENSG00000060642,55650
ENSG00000060656,10076
ENSG00000060688,9410
ENSG00000060718,1301
ENSG00000060749,79832
ENSG00000060762,51660
ENSG00000060971,30
ENSG00000060982,586
ENSG00000061273,51564
ENSG00000061337,11178
ENSG00000061455,93166
ENSG00000061656,6676
ENSG00000061676,10787
ENSG00000061794,60488
ENSG00000061918,2983
ENSG00000061936,6433
ENSG00000061938,10188
ENSG00000061987,23041
ENSG00000062194,65056
ENSG00000062282,84649
ENSG00000062370,7771
ENSG00000062485,1431
ENSG00000062582,64951
ENSG00000062598,63916
ENSG00000062650,23063
ENSG00000062716,81671
ENSG00000062725,10513
ENSG00000062822,5424
ENSG00000063046,1975
ENSG00000063127,28968
ENSG00000063169,29998
ENSG00000063176,56848
ENSG00000063177,6141
ENSG00000063180,770
ENSG00000063241,79763
ENSG00000063244,11338
ENSG00000063245,29924
ENSG00000063322,55588
ENSG00000063438,
ENSG00000063587,10838
ENSG00000063601,8776
ENSG00000063660,2817
ENSG00000063761,57143
ENSG00000063854,3029
ENSG00000063978,6047
ENSG00000064012,841
ENSG00000064042,22998
ENSG00000064102,55726
ENSG00000064115,51768
ENSG00000064195,1747
ENSG00000064199,53340
ENSG00000064201,10077
ENSG00000064205,8839
ENSG00000064225,10402
ENSG00000064309,50937
ENSG00000064313,6873
ENSG00000064393,28996
ENSG00000064419,23534
ENSG00000064490,8625
ENSG00000064545,54929
ENSG00000064547,9170
ENSG00000064601,5476
ENSG00000064607,10147
ENSG00000064651,6558
ENSG00000064652,28966
ENSG00000064655,2139
ENSG00000064666,1265
ENSG00000064687,10347
ENSG00000064692,9627
ENSG00000064703,11218
ENSG00000064726,53339
ENSG00000064763,55711
ENSG00000064886,1117
ENSG00000064932,22904
ENSG00000064933,5378
ENSG00000064961,10362
ENSG00000064989,10203
ENSG00000064995,6882
ENSG00000064999,23294
ENSG00000065000,8943
ENSG00000065029,7629
ENSG00000065054,9351
ENSG00000065057,4913
ENSG00000065060,54887
ENSG00000065135,2773
ENSG00000065150,3843
ENSG00000065154,4942
ENSG00000065183,10885
ENSG00000065243,5586
ENSG00000065268,57418
ENSG00000065308,9697
ENSG00000065320,9423
ENSG00000065357,1606
ENSG00000065361,2065
ENSG00000065413,91526
ENSG00000065427,3735
ENSG00000065457,23536
ENSG00000065485,10954
ENSG00000065491,55633
ENSG00000065518,4710
ENSG00000065526,23013
ENSG00000065534,4638
ENSG00000065548,55854
ENSG00000065559,6416
ENSG00000065600,55248
ENSG00000065613,9748
ENSG00000065615,51167
ENSG00000065621,119391
ENSG00000065665,55176
ENSG00000065717,7089
ENSG00000065802,51665
ENSG00000065809,83641
ENSG00000065833,4199
ENSG00000065882,23216
ENSG00000065883,8621
ENSG00000065911,10797
ENSG00000065923,84679
ENSG00000065970,55810
ENSG00000065978,4904
ENSG00000065989,5141
ENSG00000066027,5525
ENSG00000066044,1994
ENSG00000066084,57609
ENSG00000066117,6602
ENSG00000066135,9682
ENSG00000066136,4802
ENSG00000066185,84217
ENSG00000066230,6550
ENSG00000066248,25791
ENSG00000066279,259266
ENSG00000066322,64834
ENSG00000066379,30834
ENSG00000066382,744
ENSG00000066405,51208
ENSG00000066422,27107
ENSG00000066427,4287
ENSG00000066455,9950
ENSG00000066468,2263
ENSG00000066557,55631
ENSG00000066583,51015
ENSG00000066629,2009
ENSG00000066651,60487
ENSG00000066654,55623
ENSG00000066697,91283
ENSG00000066739,55102
ENSG00000066777,10565
ENSG00000066827,57623
ENSG00000066855,9650
ENSG00000066923,10734
ENSG00000066926,2235
ENSG00000066933,4649
ENSG00000067057,5214
ENSG00000067064,3422
ENSG00000067066,6672
ENSG00000067082,1316
ENSG00000067113,8611
ENSG00000067141,4756
ENSG00000067167,23471
ENSG00000067177,5255
ENSG00000067182,7132
ENSG00000067191,782
ENSG00000067208,7813
ENSG00000067221,9399
ENSG00000067225,5315
ENSG00000067248,54505
ENSG00000067334,30836
ENSG00000067365,79091
ENSG00000067369,7158
ENSG00000067445,7216
ENSG00000067533,51018
ENSG00000067560,387
ENSG00000067596,1659
ENSG00000067601,
ENSG00000067606,5590
ENSG00000067704,55699
ENSG00000067798,89795
ENSG00000067829,3421
ENSG00000067836,79641
ENSG00000067900,6093
ENSG00000067955,865
ENSG00000067992,5165
ENSG00000068001,8692
ENSG00000068024,9759
ENSG00000068028,11186
ENSG00000068079,3430
ENSG00000068097,63897
ENSG00000068120,80347
ENSG00000068137,79990
ENSG00000068305,4205
ENSG00000068308,55593
ENSG00000068323,7030
ENSG00000068354,4943
ENSG00000068366,2182
ENSG00000068383,3632
ENSG00000068394,27238
ENSG00000068400,56850
ENSG00000068438,24140
ENSG00000068489,55771
ENSG00000068650,23250
ENSG00000068654,25885
ENSG00000068697,9741
ENSG00000068724,57217
ENSG00000068745,51447
ENSG00000068784,55133
ENSG00000068796,3796
ENSG00000068878,23198
ENSG00000068885,57560
ENSG00000068903,22933
ENSG00000068912,27248
ENSG00000068971,5526
ENSG00000068976,5837
ENSG00000069011,5307
ENSG00000069020,375449
ENSG00000069248,55746
ENSG00000069275,64710
ENSG00000069329,55737
ENSG00000069345,10294
ENSG00000069399,602
ENSG00000069424,8514
ENSG00000069431,10060
ENSG00000069493,29121
ENSG00000069509,139341
ENSG00000069535,4129
ENSG00000069667,6095
ENSG00000069702,7049
ENSG00000069849,483
ENSG00000069869,4734
ENSG00000069943,9488
ENSG00000069956,5597
ENSG00000069966,10681
ENSG00000069974,5873
ENSG00000069998,27440
ENSG00000070010,7353
ENSG00000070018,4040
ENSG00000070019,2984
ENSG00000070047,57661
ENSG00000070061,8518
ENSG00000070081,4925
ENSG00000070087,5217
ENSG00000070159,5774
ENSG00000070182,6710
ENSG00000070193,2255
ENSG00000070214,23446
ENSG00000070269,54916
ENSG00000070366,23293
ENSG00000070367,10640
ENSG00000070371,8218
ENSG00000070404,10272
ENSG00000070413,9993
ENSG00000070423,55658
ENSG00000070444,4335
ENSG00000070476,79364
ENSG00000070495,23210
ENSG00000070501,5423
ENSG00000070540,55062
ENSG00000070610,57704
ENSG00000070614,3340
ENSG00000070669,440
ENSG00000070718,10947
ENSG00000070731,10610
ENSG00000070756,26986
ENSG00000070759,10420
ENSG00000070761,29105
ENSG00000070770,1459
ENSG00000070778,11099
ENSG00000070785,8891
ENSG00000070808,815
ENSG00000070814,6949
ENSG00000070831,998
ENSG00000070882,26031
ENSG00000070950,56852
ENSG00000070961,490
ENSG00000071051,8440
ENSG00000071054,9448
ENSG00000071082,6160
ENSG00000071127,9948
ENSG00000071189,23161
ENSG00000071205,79658
ENSG00000071242,6196
ENSG00000071243,54556
ENSG00000071246,22846
ENSG00000071282,29995
ENSG00000071462,114049
ENSG00000071537,6400
ENSG00000071539,9319
ENSG00000071553,537
ENSG00000071564,6929
ENSG00000071575,28951
ENSG00000071626,26528
ENSG00000071655,53615
ENSG00000071794,6596
ENSG00000071859,9130
ENSG00000071889,60343
ENSG00000071894,29894
ENSG00000071967,79901
ENSG00000071994,5134
ENSG00000072041,55117
ENSG00000072042,51109
ENSG00000072062,5566
ENSG00000072071,22859
ENSG00000072110,87
ENSG00000072121,23503
ENSG00000072133,27330
ENSG00000072134,22905
ENSG00000072135,26469
ENSG00000072163,55679
ENSG00000072195,10290
ENSG00000072201,84708
ENSG00000072210,224
ENSG00000072274,7037
ENSG00000072310,6720
ENSG00000072364,27125
ENSG00000072401,7321
ENSG00000072415,64398
ENSG00000072422,9886
ENSG00000072501,8243
ENSG00000072506,3028
ENSG00000072518,2011
ENSG00000072571,3161
ENSG00000072609,55743
ENSG00000072682,8974
ENSG00000072736,4775
ENSG00000072756,51095
ENSG00000072778,37
ENSG00000072786,6793
ENSG00000072803,23291
ENSG00000072818,9744
ENSG00000072832,1400
ENSG00000072840,2121
ENSG00000072849,51009
ENSG00000072864,54820
ENSG00000072952,10335
ENSG00000072954,79041
ENSG00000072958,8907
ENSG00000073008,5817
ENSG00000073050,7515
ENSG00000073060,949
ENSG00000073111,4171
ENSG00000073150,56666
ENSG00000073169,83642
ENSG00000073331,80216
ENSG00000073417,5151
ENSG00000073464,1183
ENSG00000073536,54475
ENSG00000073578,6389
ENSG00000073584,6605
ENSG00000073598,54752
ENSG00000073605,55876
ENSG00000073614,5927
ENSG00000073670,4185
ENSG00000073711,5523
ENSG00000073712,10979
ENSG00000073756,5743
ENSG00000073792,10644
ENSG00000073803,9175
ENSG00000073849,6480
ENSG00000073905,
ENSG00000073910,10129
ENSG00000073921,8301
ENSG00000073969,4905
ENSG00000074047,2736
ENSG00000074054,23332
ENSG00000074071,65993
ENSG00000074181,4854
ENSG00000074201,1207
ENSG00000074219,8463
ENSG00000074266,8726
ENSG00000074319,7251
ENSG00000074356,55421
ENSG00000074370,489
ENSG00000074410,771
ENSG00000074416,11343
ENSG00000074527,59277
ENSG00000074582,617
ENSG00000074590,9891
ENSG00000074603,54878
ENSG00000074621,9187
ENSG00000074657,55205
ENSG00000074660,8578
ENSG00000074695,3998
ENSG00000074696,51495
ENSG00000074755,23140
ENSG00000074800,2023
ENSG00000074842,56005
ENSG00000074855,57719
ENSG00000074935,51175
ENSG00000074964,55160
ENSG00000075035,9671
ENSG00000075073,6865
ENSG00000075089,64431
ENSG00000075131,54962
ENSG00000075142,6717
ENSG00000075151,8672
ENSG00000075188,79023
ENSG00000075213,10371
ENSG00000075218,51512
ENSG00000075223,10512
ENSG00000075234,55020
ENSG00000075239,38
ENSG00000075240,23151
ENSG00000075275,9620
ENSG00000075292,27332
ENSG00000075303,55972
ENSG00000075336,29090
ENSG00000075391,9462
ENSG00000075399,9605
ENSG00000075407,7587
ENSG00000075413,4140
ENSG00000075415,5250
ENSG00000075420,64778
ENSG00000075426,2355
ENSG00000075539,285527
ENSG00000075568,23505
ENSG00000075618,6624
ENSG00000075624,60
ENSG00000075643,55034
ENSG00000075651,5337
ENSG00000075702,284403
ENSG00000075711,1739
ENSG00000075785,7879
ENSG00000075790,55973
ENSG00000075826,25956
ENSG00000075856,9733
ENSG00000075914,23016
ENSG00000075945,22920
ENSG00000075975,23609
ENSG00000076003,4175
ENSG00000076043,25996
ENSG00000076053,10179
ENSG00000076067,5939
ENSG00000076108,11176
ENSG00000076201,25930
ENSG00000076242,4292
ENSG00000076248,7374
ENSG00000076258,2329
ENSG00000076321,27252
ENSG00000076344,8786
ENSG00000076351,113235
ENSG00000076356,5362
ENSG00000076382,10615
ENSG00000076513,88455
ENSG00000076555,32
ENSG00000076604,9618
ENSG00000076641,55824
ENSG00000076650,55094
ENSG00000076662,3385
ENSG00000076685,22978
ENSG00000076706,4162
ENSG00000076716,2239
ENSG00000076770,55796
ENSG00000076924,56949
ENSG00000076928,9138
ENSG00000076984,5609
ENSG00000077044,8527
ENSG00000077063,83992
ENSG00000077092,5915
ENSG00000077097,7155
ENSG00000077147,56889
ENSG00000077150,4791
ENSG00000077152,29089
ENSG00000077157,4660
ENSG00000077232,54431
ENSG00000077235,2975
ENSG00000077238,3566
ENSG00000077254,23032
ENSG00000077264,5063
ENSG00000077312,6626
ENSG00000077348,56915
ENSG00000077380,1781
ENSG00000077420,54518
ENSG00000077454,4034
ENSG00000077458,143684
ENSG00000077463,51548
ENSG00000077514,10714
ENSG00000077549,832
ENSG00000077585,7107
ENSG00000077616,10003
ENSG00000077684,79960
ENSG00000077713,203427
ENSG00000077721,7319
ENSG00000077782,2260
ENSG00000077942,2192
ENSG00000077943,8516
ENSG00000078018,4133
ENSG00000078043,9063
ENSG00000078053,273
ENSG00000078061,369
ENSG00000078070,56922
ENSG00000078098,2191
ENSG00000078124,55331
ENSG00000078140,3093
ENSG00000078142,5289
ENSG00000078177,55728
ENSG00000078237,57103
ENSG00000078246,7289
ENSG00000078269,8871
ENSG00000078295,108
ENSG00000078304,5527
ENSG00000078319,
ENSG00000078369,2782
ENSG00000078399,3205
ENSG00000078401,1906
ENSG00000078403,8028
ENSG00000078487,55063
ENSG00000078596,9452
ENSG00000078618,4898
ENSG00000078668,7419
ENSG00000078674,5108
ENSG00000078687,57690
ENSG00000078699,9139
ENSG00000078725,1620
ENSG00000078747,83737
ENSG00000078795,27039
ENSG00000078804,58476
ENSG00000078808,51150
ENSG00000078814,57644
ENSG00000078900,7161
ENSG00000078902,54472
ENSG00000078967,51619
ENSG00000079102,862
